ID,Prediction
0_2014-01-01,0.18552451
1_2014-01-01,0.16836607
2_2014-01-01,0.27396387
3_2014-01-01,0.23874202
4_2014-01-01,0.2660367
5_2014-01-01,0.1875049
6_2014-01-01,0.20213524
7_2014-01-01,0.10565497
8_2014-01-01,0.11180322
9_2014-01-01,0.07066336
10_2014-01-01,0.06715112
11_2014-01-01,0.039769158
12_2014-01-01,0.20670693
13_2014-01-01,0.2409714
14_2014-01-01,0.21142495
15_2014-01-01,0.19959179
16_2014-01-01,0.17263319
17_2014-01-01,0.039277982
18_2014-01-01,0.010041172
19_2014-01-01,0.009076855
20_2014-01-01,0.0107646445
21_2014-01-01,0.014183709
22_2014-01-01,0.017005242
23_2014-01-01,0.09555952
24_2014-01-01,0.14811738
25_2014-01-01,0.1430806
26_2014-01-01,0.22471045
27_2014-01-01,0.2034296
28_2014-01-01,0.18583255
29_2014-01-01,0.028304342
30_2014-01-01,0.0596619
31_2014-01-01,0.013151858
32_2014-01-01,0.005567849
33_2014-01-01,0.00556464
34_2014-01-01,0.16865242
35_2014-01-01,0.27790284
36_2014-01-01,0.28774667
37_2014-01-01,0.26891387
38_2014-01-01,0.13247132
39_2014-01-01,0.17301589
40_2014-01-01,0.14707772
41_2014-01-01,0.010743293
42_2014-01-01,0.008971788
43_2014-01-01,0.0020859146
44_2014-01-01,0.0036201251
45_2014-01-01,0.028581144
46_2014-01-01,0.023834398
47_2014-01-01,0.062032558
48_2014-01-01,0.003745444
49_2014-01-01,0.00042872428
50_2014-01-01,0.001118444
51_2014-01-01,0.010497058
52_2014-01-01,0.008588201
53_2014-01-01,0.0458572
54_2014-01-01,0.36333975
55_2014-01-01,0.50176024
56_2014-01-01,0.45069492
57_2014-01-01,0.15802054
58_2014-01-01,0.039058633
59_2014-01-01,0.020880647
60_2014-01-01,0.003837697
61_2014-01-01,0.005471259
62_2014-01-01,0.15751475
63_2014-01-01,0.13484442
64_2014-01-01,0.15681754
65_2014-01-01,0.17927045
66_2014-01-01,0.22173187
67_2014-01-01,0.24008755
68_2014-01-01,0.1192632
69_2014-01-01,0.21562439
70_2014-01-01,0.21565767
71_2014-01-01,0.017799538
72_2014-01-01,0.0056295684
73_2014-01-01,0.002065641
74_2014-01-01,0.0030676955
75_2014-01-01,0.004056811
76_2014-01-01,5.10851e-05
77_2014-01-01,0.0003636979
78_2014-01-01,0.0044475836
79_2014-01-01,0.0027965978
80_2014-01-01,0.008525927
81_2014-01-01,0.0013645354
82_2014-01-01,0.0006129605
83_2014-01-01,0.0018265679
84_2014-01-01,0.0015338997
85_2014-01-01,0.16918078
86_2014-01-01,0.36401564
87_2014-01-01,0.47988832
88_2014-01-01,0.28938046
89_2014-01-01,0.18280038
90_2014-01-01,0.033577774
91_2014-01-01,0.08143097
